Post,Average,index,human,AI
"Looks like the Biden administration the CIA and Ukraine toppled Syria government. The connection between Hayat Tahrir al-Sham (HTS) of Syria and Ukrainian intelligence has been a topic of discussion and speculation, particularly from Russian sources. Here's an overview based on available information: Allegations of Cooperation: Russian officials and media have claimed that Ukrainian intelligence, specifically the Defence Intelligence Directorate of Ukraine (GUR), has been involved in training HTS fighters in drone warfare and possibly coordinating military operations. These allegations include Ukrainian specialists teaching HTS how to manufacture drones themselves, aimed at conducting attacks against Russian forces in Syria. Denials and Contradictions: HTS has denied these allegations, describing them as part of a Russian disinformation campaign. Moreover, there are contradictions within Russian official statements regarding the extent and nature of any Ukrainian involvement in Syria. One source even suggested that Ukraine's military presence in Syria was minimal, focusing more on symbolic or psychological operations rather than direct military coordination. Geopolitical Context: These claims arise in the context of the broader geopolitical conflict involving Russia, Ukraine, and various actors in the Middle East. Ukrainian officials have hinted at engagements but downplayed significant involvement. The narrative suggests that Ukraine might seek to destabilize Russian operations globally, including in Syria, where Russia has a military presence supporting the Assad regime. Speculative Nature: Much of the information comes from posts on X or reports from Russian media, which might serve political or propaganda purposes. The lack of concrete evidence and the presence of denials from HTS make this connection speculative rather than definitively established. In summary, while there are allegations and some evidence of contact or cooperation between Ukrainian intelligence and HTS, the extent and nature of this relationship remain unclear and contested. The narrative is influenced by the geopolitical tensions between Russia, Ukraine, and their respective allies or adversaries.",73.4,18,0,1
"Time to ensure that killings in #Gaza, stop and no outside wars are supported. Shouldn't US get rid of these traps and misuse of its power and resources, in conflicts. 

Palestine situation needs immediate redressal. Electorate shifted position due to atrocities in Gaza. Now, need to honour the promise and save innocent lives.  ",46.25,19,1,0
"Honorable President Trump, please do something for saving Hindus in Bangladesh. Islamists under the leadership of Muhammad Yunus, an ally of Obama, Clintons and Soros is turning the country into a burning inferno for Hindus. Meanwhile, Pakistan is sending weapons and drugs to Bangladesh which will totally destabilize the entire nation and the world.",10.5,20,0,1
"President Trump is absolutely right: Syria is not our fight. The opposition's offensive may be a game-changer, but it's clear we have no place in this conflict. We've already seen what happens when the U.S. gets entangled in endless wars—lives lost, trillions spent, and no clear benefit. Russia and Assad are being pushed out, and while the region is a mess, it’s their mess to clean up. No more American lives or dollars should be wasted in Syria. Let it play out. This is a time for restraint and focus on our priorities. We stand with our President. What do you think? Should the U.S. stay out of Syria? Let’s discuss. #AmericaFirst #NoMoreWars""",50.4,21,0,0
"Mr. President, the Turkish Erdogan regime is exploiting the chaos and power vacuum in Syria to attack Kurdish and locally controlled areas in northern Syria using jihadist mercenaries from the so-called SNA (mostly former ISIS fighters). Stand by your Kurdish allies, the SDF! Now more than ever, the SDF urgently needs increased international support",20.0,22,1,0
I guess that’s the problem when one starts spending everyone starts over spending and then once the lights come on in the music stops everybody’s like damn how much did we spend and how much is the debt? Maybe we got carried away with a few things we shouldn’t have have you seenthe daily wires new comedy? With Matt Walsh,0.25,23,0,0
"What do you have to say about the illegal immigrant burning the woman to death on the subway? 

You had a lot of hateful things to say about the hero Daniel Perry. 

So, what now, crickets? Because no one white was involved? (that we know of - the poor woman has still not been identified).",17.25,24,1,0
"Democrats are only worried about what a billionaire named @elonmusk
 thinks because: 

1) He is enabling free speech (a constitutional right, whaaat?) and has been reforming one of the largest censorship weapons. 

2) Out of all the MANY SUPER WEALTHY people the democrats have deployed in an attempt to leverage influence, they have been impotent and ineffective.   Modern progressive democrat influencers are elitist, conform to and parrot preset narratives in exchange for monetary compensation.  They are out of touch and literally unlikeable.  We like Elon (but still view him with healthy skepticism).  Bare minimum, we respect him for supporting saving humanity and being an innovator.   Democrats fear his likability and the fact that he DGAF what anyone thinks.

3) Citizens actually are paying attention, we are intelligent enough to form our own opinions and can see what a shitty job you all do running the country.  We watch you get rich on a salary that should not make you rich.  We see your complete contempt for the people, and how you think we must be so stupid that we need someone like Elon to think for us.  But if we needed someone to think for us, your influencers would be effective.  But they’re not.  ",0.2,25,1,0
"This lady is so full of crap, attacking certain billionaires is just a massive con job. 

She had no problem when the Biden Administration approved a deal for George Soros to purchase 200 radio stations to shape American Politics. 

She has no problem when Washington Post owned by Jeff Bezos peddles propaganda about President Trump. 

She had no problem when very powerful foreign billionaires funded Kamala Harris. 

The only person pushing propaganda is @AOC
, the people rose up and stopped a disastrous CR of 1547 pages of tyranny. 

@elonmusk
 is just the talking point for Democrats.",0.2,26,0,0
"AOC, maybe instead of worrying about billionaires, you should focus on cleaning up the mess your own party’s made. If you really cared about campaign finance reform, you’d be more focused on the corporate money and PACs that flood the political system, not crying about Musk’s influence. News flash: the problem isn’t billionaires, it’s the corrupt system that lets anyone with money manipulate the system.",1.75,27,0,0
" @BoomerHitsDiff
   The American people don't believe they have been taken from within. They have blinders on because we have been a free with a democracy nation for a long time. We have been taken over by a wealthy man that ran over Trump.  The democracy of America is no more!",0.0,28,0,0
"ICE is taking action to protect American communities from dangerous criminals, targeting illegal immigrants convicted of heinous crimes like armed robbery and child exploitation. Under Trump, they’re finally free to make collateral arrests and keep us safe. #SecureTheBorder #LawAndOrder",100.0,40,0,1
"Egg prices are soaring, and it's working families who are paying the price. Bird flu is devastating farms, but let’s not ignore how corporate greed and broken supply chains make things worse. $7+ for a dozen eggs? Time to prioritize sustainable farming and fair pricing. 🥚💸 #FoodJustice #FairEconomy",100.0,41,0,1
" President Trump is putting America First once again:
✅ Rolling back woke DEI initiatives in the military
✅ Standing up for truth and readiness with a future transgender troop ban
✅ Reinstating troops unfairly dismissed over COVID vaccine mandates
✅ Developing a ‘Space Iron Dome’ for ultimate missile defense

Bold leadership is back. 🇺🇸 #MAGA #AmericaFirst #Trump2025",100.0,42,0,1
"Democrats are screaming 'healthcare sabotage,' but let’s look at the facts: Medicaid payments are still being processed despite the portal outage. Typical fear-mongering to distract from the real issue—accountability in federal funding. #Medicaid #Accountability #FakeOutrage",100.0,43,1,0
"Millions of Americans rely on Medicaid – 41% of all births in the U.S. are covered by it. Now Trump & Republicans are jeopardizing healthcare access with reckless grant freezes & system outages. This is sabotage, plain and simple. Lives are on the line. #Medicaid #HealthcareForAll",100.0,44,1,1
"🚨 Once again, Chemours is poisoning the Ohio River with toxic ""forever chemicals"" at their West Virginia plant! The fight for justice has been going on for 25 years, but this company keeps polluting while regulators do nothing. When will they be held accountable? #Pollution #PFAS #WestVirginia #CleanWater 🛑",100.0,45,0,2
Ultimately every Trump cabinet nominee will be confirmed . The  hearings are just a BIG SHOW to make it  appear the senate is seriously considering not confirming. In the end the hearings senate will capitulate to the demands of Trump because they have no back bone.,0.0,46,0,0
"Bernie Sanders, along with every other Democrat member, and a few Republican members (RINO’s) of the Senate, are absolutely corrupt, compromised, and owned by corporations and special interests and they all need to be investigated, indicted and replaced with people who will represent us, the American people, and our interests and demands.",0.5,47,0,0
The effects of collective brainwash of the human race across the globe must be assessed. People's minds have been controlled by elite since the dawn of civilisation. Citizen journalism must evolve as the antidote to this unjustice. #politics #journalism #people #democracy #rights,7.25,48,0,0
